,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
20,ELEC,Destination Nissan,770 Central Ave,Albany,NY,12206,E,Dealership business hours,,1,,,Non-Networked,200-9,42.676971,-73.787334,44317,J1772,US,public,CALL,,CAR_DEALER,Free,Capital Region,Albany County,Destination Nissan,1,1,,,Non-Networked
49,ELEC,TRICITYRENTALS WOODLAKE 2,61 Woodlake Rd N,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.677277,-73.84716,51095,J1772,US,public,,,,,Capital Region,Albany County,TRICITYRENTALS WOODLAKE 2,2,1,,,ChargePoint Network
70,ELEC,Albany International Airport,737 Albany Shaker Rd,Albany,NY,12205,E,24 hours daily; pay parking lot,,6,,,EV Connect,200-8,42.739746,-73.808186,64131,J1772,US,public,,,AIRPORT,Free,Capital Region,Albany County,Albany International Airport,6,1,,,EV Connect
96,ELEC,Price Chopper,1060 Madison Ave,Albany,NY,12208,E,24 hours daily; maximum stay of 2 hours,,2,,,Non-Networked,200-9,42.664671,-73.790463,68579,J1772,US,public,,,GROCERY,Free,Capital Region,Albany County,Price Chopper,2,1,,,Non-Networked
98,ELEC,Fuccillo Nissan - Latham,976 New Loudon Rd,Latham,NY,12110,E,Dealership business hours,,1,,,Non-Networked,200-9,42.76943,-73.754611,70452,J1772,US,public,CALL,,CAR_DEALER,Free,Capital Region,Albany County,Fuccillo Nissan - Latham,1,1,,,Non-Networked
103,ELEC,Hampton Inn - Albany,10 Ulenski Dr,Albany,NY,12205,E,24 hours daily,,2,,,Non-Networked,GPS,42.724676,-73.7954479,72909,J1772,US,public,,,HOTEL,,Capital Region,Albany County,Hampton Inn - Albany,2,1,,,Non-Networked
104,ELEC,Hampton Inn - British American Blvd,45 British American Blvd,Latham,NY,12110,E,24 hours daily,,2,,,EV Connect,GPS,42.768177,-73.82062,72918,J1772,US,public,,,HOSPITAL,,Capital Region,Albany County,Hampton Inn - British American Blvd,2,1,,,EV Connect
106,ELEC,Price Chopper Plaza,1395 New Scotland Rd,Slingerlands,NY,12159,E,24 hours daily,,2,,,Non-Networked,GPS,42.638663,-73.857186,72970,J1772,US,public,,,GROCERY,Free,Capital Region,Albany County,Price Chopper Plaza,2,1,,,Non-Networked
123,ELEC,Honest Weight Co-op,100 Watervliet Ave,Albany,NY,12206,E,8am-10pm daily,,2,,,Non-Networked,200-9,42.678984,-73.782529,86199,J1772,US,public,,,COOP,Free,Capital Region,Albany County,Honest Weight Co-op,2,1,,,Non-Networked
136,ELEC,Hannaford Supermarket,5239 Western Tpke,Altamont,NY,12009,E,24 hours daily,,,1,,eVgo Network,GPS,42.716216,-73.934492,93480,CHADEMO J1772COMBO,US,public,KEY_ALWAYS,,,,Capital Region,Albany County,Hannaford Supermarket,,,1,1,eVgo Network
138,ELEC,Hannaford Supermarket,900 Central Ave,Albany,NY,12206,E,24 hours daily,,,1,,eVgo Network,GPS,42.680658,-73.790978,93508,CHADEMO J1772COMBO,US,public,KEY_ALWAYS,,,,Capital Region,Albany County,Hannaford Supermarket,,,1,1,eVgo Network
139,ELEC,Hannaford Supermarket,5 Maple Rd,Voorheesville,NY,12186,E,24 hours daily,,,1,,eVgo Network,GPS,42.649353,-73.923215,93509,CHADEMO J1772COMBO,US,public,KEY_ALWAYS,,,,Capital Region,Albany County,Hannaford Supermarket,,,1,1,eVgo Network
199,ELEC,Colonie Center - Tesla Supercharger,131 Colonie Center,Albany,NY,12205,E,24 hours daily; for Tesla use only,,,6,,Tesla,200-8,42.7104,-73.8191,102325,TESLA,US,public,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Capital Region,Albany County,Colonie Center - Tesla Supercharger,,,6,1,Tesla
204,ELEC,Crossgates Mall - Tesla Supercharger,1 Crossgates Mall Road,Guilderland,NY,12203,E,24 hours daily; for Tesla use only,,,20,,Tesla,200-8,42.6887,-73.8533,102330,TESLA,US,public,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Capital Region,Albany County,Crossgates Mall - Tesla Supercharger,,,20,1,Tesla
240,ELEC,AAA Albany - Tesla Destination,618 Delaware Ave,Albany,NY,12209,E,24 hours daily; for customer use only; see front desk for access,,4,,,Tesla Destination,200-9,42.636441,-73.791489,114878,J1772 TESLA,US,public,,,OFFICE_BLDG,Free,Capital Region,Albany County,AAA Albany - Tesla Destination,4,1,,,Tesla Destination
325,ELEC,AAA Latham - Tesla Destination,595 New Loudon Rd,Latham,NY,12110,E,24 hours daily; for customer use only,,2,,,Tesla Destination,200-9,42.728097,-73.759578,114967,J1772 TESLA,US,public,,,OFFICE_BLDG,Free,Capital Region,Albany County,AAA Latham - Tesla Destination,2,1,,,Tesla Destination
616,ELEC,DeNooyer Chevrolet,127 Wolf Rd,Albany,NY,12205,E,Dealership business hours; 518-458-7700,,,1,,Non-Networked,GPS,42.717867,-73.806317,117741,J1772COMBO,US,public,CALL,,CAR_DEALER,Free,Capital Region,Albany County,DeNooyer Chevrolet,,,1,1,Non-Networked
622,ELEC,BURNS MGT OXFORD 2,6213 Johnston Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68476,-73.868266,118705,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT OXFORD 2,2,1,,,ChargePoint Network
624,ELEC,ROSENBLUM300 300 GREAT OAKS,300 Great Oaks Blvd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.680984,-73.846759,118995,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 300 GREAT OAKS,2,1,,,ChargePoint Network
